acronym,full_name,count,confidence,example
AATP,ASSOCIATION OF AVIATION TRAINING PROFESSIONALS,1,high,AATP - 
ACAW,ALLIED CHEMICAL AND ALKALI WORKERS,1,high,ACAW - 1
ACSONY,ASSOCIATION OF COURT SECURITY,1,medium,ACSONY - 
AFLPA,ARENA FOOTBALL LEAGUE PLAYERS,1,medium,AFLPA
AFPO,AMERICAN FEDERATION OF PROFESSIONAL,1,medium,AFPO - 19
AIW,AMALGAMATED INDUSTRIAL WORKERS,2,high,AIW - 61
AMO,AMERICAN MARITIME OFFICERS UNION,12,medium,AMO
APJCC,ALASKA PETROLEUM JOINT CRAFTS,2,web_research,APJCC - 
APSA,AEROSPACE PROFESSIONAL STAFF ASN,1,high,APSA - 
APSCE,ASSOCIATION OF PROFESSIONAL STAFF,1,medium,APSCE - 
ATCHINSON,ALLIED TRADES COUNCIL,1,medium,ATCHINSON VILLAGE EMPLOYEES ASSOCIATION
BAT-514,BROTHERHOOD OF AMALGAMATED TRADES,1,high,BAT-514
CANA,CALIFORNIA NURSES ASSOCIATION,,manual,
CAPA,CAPE AIR PILOTS ASSOCIATION,1,high,CAPA
CBTC,COLUMBIA BASIN TRADES COUNCIL,1,high,CBTC - 
CCEA,COUNTRY CLUB EMPLOYEES ASN,1,high,CCEA - 
CCW,COLGATE CHEMICAL WKRS IND UNION INC,1,medium,CCW - 6A 18A 20
CMEA,CANYON MANOR EMPLOYEES ASN,2,high,CMEA - 
CMUCPA,CITY OF MOBILE UNITED,1,medium,CMUCPA - 
CPEU,CHEMICAL PROTECTION EMPLOYEES,1,medium,CPEU - 
CTAI,TEXTILE GARMENT WORKERS ASSN,,web_research,
CTHEA,CARSON TAHOE HEALTHCARE EMPLOYEES,1,web_research,CTHEA - 
DGA,DIRECTORS GUILD OF AMERICA INC NHQ,6,high,DGA
DGA-N/A,DIRECTORS GUILD OF AMERICA INC NHQ,1,high,DGA-N/A
DWU,DIESEL WORKERS UNION,1,high,DWU - 
EABTMS,THE EMPLOYEES ASSOCIATION OF BALTIMORE INC,1,medium,EABTMS - 
EBEU,ELLISON BRONZE EMPLOYEES UNION,1,high,EBEU - 
FAIRFAX,FLIGHT ATTENDANTS FOR INDEPENDEN,1,medium,FAIRFAX EMERGENCY PHYSICIANS' ASSOCIATION
FAPP,ASSOCIATION OF PROFESSIONAL FLIGHT ATTENDANTS,,web_research,
FEA,PENNSYLVANIA STATE EDUCATION ASSOCIATION,,web_research,
FPSCO,FEDERATION OF POLICE SECURITY AND,4,medium,FPSCO - 411
FSEU,FRANK SIVIGLIA EMPLOYEES,1,medium,FSEU - 
