text,union_name,desig_num,f_num,reason_missing_fnum,source
IAM&AW 75,MACHINISTS AFL-CIO,75.0,38114,,labeled
Teamsters Local 651,TEAMSTERS,651.0,69551.0,,labeled
United Food & Commercial Workers 431,FOOD AND COMMERCIAL WKRS,431.0,14291,,labeled
IBT-135,TEAMSTERS,135.0,9836.0,,labeled
IBT-160,TEAMSTERS,160.0,46090.0,,labeled
OPEIU-3,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,3.0,6141.0,,labeled
IUE-CWA Local 81353 81353,COMMUNICATIONS WORKERS AFL-CIO,81353.0,19738,,labeled
IBEW 26,ELECTRICAL WORKERS IBEW AFL-CIO,26.0,12627.0,,labeled
I.U.P.A.T. District Council 57-DC57,PAINTERS AFL-CIO,57.0,540940.0,,labeled
"Shopmen's Local Union No. 811 of IABSORIW, AFL-CIO 811",IRON WORKERS AFL-CIO,811.0,62877.0,,labeled
United Steelworkers 10-06816-10,"STEELWORKERS, AFL-CIO",6816.0,62692.0,,labeled
International Brotherhood of Teamsters 191,TEAMSTERS,191.0,32953.0,,labeled
Plasterers & Cement Masons Area 83-692,PLASTERERS AND CEMENT MASONS AFL-CIO,692.0,530002.0,,labeled
IAM District 10 1266,MACHINISTS AFL-CIO,1266.0,35974.0,,labeled
IBEW-2304,ELECTRICAL WORKERS IBEW AFL-CIO,2304.0,68337.0,,labeled
International Brotherhood of Electrical Workers 3,ELECTRICAL WORKERS IBEW AFL-CIO,3.0,,ambiguous,labeled
IAMAW-1720,MACHINISTS AFL-CIO,1720.0,59228.0,,labeled
AFM/TCMU-30-73,MUSICIANS AFL-CIO,30.0,515163.0,,labeled
United Steelworkers 13-555-01,"STEELWORKERS, AFL-CIO",555.0,68853.0,,labeled
United Steelworkers 1337,"STEELWORKERS, AFL-CIO",1337.0,512044.0,,labeled
IBEW  1181,ELECTRICAL WORKERS IBEW AFL-CIO,1181.0,48815.0,,labeled
United Food & Commercial Workers Union 1059,FOOD AND COMMERCIAL WKRS,1059.0,23709.0,,labeled
UAW Local 592 Unit 8,AUTO WORKERS AFL-CIO,592.0,21906.0,,labeled
United Steelworkers 00202,"STEELWORKERS, AFL-CIO",202.0,41416,,labeled
LIUNA-189/561/576/1214/1392/1445,LABORERS,,,multi-local,labeled
United Food and Commercial Workers 1445,FOOD AND COMMERCIAL WKRS,1445.0,19892.0,,labeled
Hawai'i Nurses' Association 50,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,50.0,53662.0,,labeled
USW-6521-07,"STEELWORKERS, AFL-CIO",6521.0,61620.0,,labeled
Teamsters Union Local No. 115,TEAMSTERS,115.0,12292.0,,labeled
IBEW Local 816,ELECTRICAL WORKERS IBEW AFL-CIO,816.0,5623.0,,labeled
Amalgamated Transit Union 1574,TRANSIT UNION AFL-CIO,1574.0,530004.0,,labeled
Operating Engineers Union 3,"ENGINEERS, OPERATING, AFL-CIO",3.0,35651.0,,labeled
SMW-27,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",27.0,514890,,labeled
IUOE -965,"ENGINEERS, OPERATING, AFL-CIO",965.0,24200.0,,labeled
United Steelworkers 10-04889-32,"STEELWORKERS, AFL-CIO",4889.0,10881.0,,labeled
Local 1102 RWDSU  1102,"RETAIL WHOLESALE, DC, UFCW",1102.0,12614.0,,labeled
UNITED STEELWORKERS 08228-91,"STEELWORKERS, AFL-CIO",8228.0,71222.0,,labeled
United Steelworkers 5171,"STEELWORKERS, AFL-CIO",5171.0,28413.0,,labeled
TEAMSTERS UNION LOCAL NO. 604 604,TEAMSTERS,604.0,20901.0,,labeled
USW 01188-03,"STEELWORKERS, AFL-CIO",1188.0,33279.0,,labeled
USW-297,"STEELWORKERS, AFL-CIO",297.0,39807.0,,labeled
Workers United-2691,"WORKERS UNITED, SEIU",2691.0,541917.0,,labeled
USW-14310-08,"STEELWORKERS, AFL-CIO",14310.0,10745.0,,labeled
UNITED STEELWORKERS INTERNATIONAL UNION 1560,"STEELWORKERS, AFL-CIO",1560.0,512298.0,,labeled
USW Local 15024-78,"STEELWORKERS, AFL-CIO",15024.0,70272.0,,labeled
United Steelworkers 01401 Unit 01,"STEELWORKERS, AFL-CIO",1401.0,40080.0,,labeled
SEIU-775,SERVICE EMPLOYEES,775.0,542433.0,,labeled
USW 1865-01,"STEELWORKERS, AFL-CIO",1865.0,,ambiguous,labeled
Teamsters 676,TEAMSTERS,676.0,22462.0,,labeled
General Teamsters 251,TEAMSTERS,251.0,30541.0,,labeled
IABSORIW-27,IRON WORKERS AFL-CIO,27.0,41370.0,,labeled
Teamsters 538,TEAMSTERS,538.0,2139.0,,labeled
Tucson Federation of Musicians 33,MUSICIANS AFL-CIO,33.0,544160.0,,labeled
UFCW 655,FOOD AND COMMERCIAL WKRS,655.0,15641.0,,labeled
United Steelworkers 1945,"STEELWORKERS, AFL-CIO",1945.0,194.0,,labeled
United Steelworkers 6496,"STEELWORKERS, AFL-CIO",6496.0,60787.0,,labeled
UNITE HERE 7,UNITE HERE,7.0,27970.0,,labeled
OPERATING ENGINEERS 428,"ENGINEERS, OPERATING, AFL-CIO",428.0,40109.0,,labeled
United Steelworkers 2002-22,"STEELWORKERS, AFL-CIO",2002.0,7040.0,,labeled
IUE-CWA-84802,COMMUNICATIONS WORKERS AFL-CIO,84802.0,65197.0,,labeled
IAMAW 449,MACHINISTS AFL-CIO,449.0,542655.0,,labeled
IBEW-125,ELECTRICAL WORKERS IBEW AFL-CIO,125.0,26009.0,,labeled
IUPAT-Council 711,PAINTERS AFL-CIO,711.0,530442.0,,labeled
BAC Local 5 PA,BRICKLAYERS AFL-CIO,5.0,537253.0,,labeled
USW-2635-24,"STEELWORKERS, AFL-CIO",2635.0,24988.0,,labeled
UAW Local 6645,AUTO WORKERS AFL-CIO,6645.0,540069.0,,labeled
IAMAW Local 1115,MACHINISTS AFL-CIO,1115.0,40654.0,,labeled
UFCW-293,FOOD AND COMMERCIAL WKRS,293.0,544548,,labeled
IBT-63,TEAMSTERS,63.0,508852.0,,labeled
International Brotherhood of Electrical Workers (IBEW)  Local Union 50,ELECTRICAL WORKERS IBEW AFL-CIO,50.0,541822.0,,labeled
IBT-79,TEAMSTERS,79.0,35477.0,,labeled
SEIU 87,SERVICE EMPLOYEES,87.0,34951.0,,labeled
IBT-500,TEAMSTERS,500.0,65960.0,,labeled
IUOE-77,"ENGINEERS, OPERATING, AFL-CIO",77.0,24845.0,,labeled
