text,union_name,f_num,desig_num,count
SEIU-1199,SERVICE EMPLOYEES,,199,2265
Service Employees International Union 32BJ,SERVICE EMPLOYEES,542113,32,1375
SEIU-32BJ,SERVICE EMPLOYEES,542113,32,1273
UFCW-1546,FOOD AND COMMERCIAL WKRS,542277,1546,1165
IUOE - 3,"ENGINEERS, OPERATING, AFL-CIO",35651,3,1159
SEIU-1,SERVICE EMPLOYEES,23715,1,1154
IBT-120,TEAMSTERS,1526,120,1113
IBT-853,TEAMSTERS,20870,853,991
IBT-135,TEAMSTERS,9836,135,968
SEIU - 79,SERVICE EMPLOYEES,,0,889
IUOE-3 ,"ENGINEERS, OPERATING, AFL-CIO",35651,3,852
IBT - 135,TEAMSTERS,9836,135,829
IAMAW-701,MACHINISTS AFL-CIO,,0,793
IUOE-324,"ENGINEERS, OPERATING, AFL-CIO",19088,324,791
IUOE-39,"ENGINEERS, OPERATING, AFL-CIO",39532,39,780
SEIU - 250,SERVICE EMPLOYEES,7760,250,728
IBT-117,TEAMSTERS,5960,117,641
IUOE - 68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,635
ILWU-142,LONGSHORE AND WAREHOUSE UNION,,0,611
IUOE-150,"ENGINEERS, OPERATING, AFL-CIO",31860,150,609
IBT-986,TEAMSTERS,15379,986,595
IUOE - 324,"ENGINEERS, OPERATING, AFL-CIO",19088,324,586
IUOE - 30,"ENGINEERS, OPERATING, AFL-CIO",19779,30,562
UFCW - 881,FOOD AND COMMERCIAL WKRS,515066,881,561
IUOE-501,"ENGINEERS, OPERATING, AFL-CIO",12442,501,543
OPEIU-537,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,530711,537,529
UFCW-342,FOOD AND COMMERCIAL WKRS,,42,528
SEIU - 1199,SERVICE EMPLOYEES,,199,519
IBT - 986,TEAMSTERS,15379,986,517
SEIU Local 32BJ,SERVICE EMPLOYEES,542113,32,504
IUOE-399,"ENGINEERS, OPERATING, AFL-CIO",28035,399,503
IAM - 701,MACHINISTS AFL-CIO,,,503
OPEIU-29,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,16408,29,501
IBT-174,TEAMSTERS,7715,174,495
IBT-50,TEAMSTERS,11444,50,494
UFCW-881,FOOD AND COMMERCIAL WKRS,515066,881,488
IBT-247,TEAMSTERS,28810,247,483
International Alliance of Theatrical Stage Employees,STAGE AND PICTURE OPERATORS AFL-CIO,,,478
IBT - 743,TEAMSTERS,34094,743,475
IUOE - 825,"ENGINEERS, OPERATING, AFL-CIO",12429,825,474
IBT - 20,TEAMSTERS,8580,20,467
